Size of the array, Time taken
71500, 0.011211
71600, 0.010418
71700, 0.009319
71800, 0.011041
71900, 0.011614
72000, 0.010403
72100, 0.009999
72200, 0.010315
72300, 0.009587
72400, 0.010779
72500, 0.009863
72600, 0.010019
72700, 0.009738
72800, 0.010224
72900, 0.010512
73000, 0.011476
73100, 0.009537
73200, 0.009442
73300, 0.010323
73400, 0.011399
73500, 0.010711
73600, 0.010856
73700, 0.011337
73800, 0.010381
73900, 0.009676
74000, 0.010577
74100, 0.010411
74200, 0.010446
74300, 0.010295
74400, 0.012008
74500, 0.010652
74600, 0.010528
74700, 0.010391
74800, 0.010473
74900, 0.011164
75000, 0.012837
75100, 0.010283
75200, 0.009729
75300, 0.011203
75400, 0.011328
75500, 0.010921
75600, 0.011355
75700, 0.010392
75800, 0.01112
75900, 0.011022
76000, 0.010396
76100, 0.010192
76200, 0.010512
76300, 0.01112
76400, 0.01242
76500, 0.010305
76600, 0.009765
76700, 0.010982
76800, 0.011966
76900, 0.011581
77000, 0.011329
77100, 0.012131
77200, 0.011511
77300, 0.011454
77400, 0.012255
77500, 0.011651
77600, 0.011565
77700, 0.010714
77800, 0.011557
77900, 0.011046
78000, 0.010505
78100, 0.011267
78200, 0.011452
78300, 0.010204
78400, 0.010929
78500, 0.010833
78600, 0.011526
78700, 0.012566
78800, 0.010936
78900, 0.010059
79000, 0.014134
79100, 0.011379
79200, 0.012046
79300, 0.011244
79400, 0.012045
79500, 0.011011
79600, 0.009761
79700, 0.01196
79800, 0.011449
79900, 0.011281
80000, 0.011474
80100, 0.012351
80200, 0.011083
80300, 0.012144
80400, 0.01171
80500, 0.012497
80600, 0.013731
80700, 0.011945
80800, 0.011992
80900, 0.011211
81000, 0.011442
81100, 0.012132
81200, 0.011129
81300, 0.011015
81400, 0.010837
81500, 0.011273
81600, 0.011168
81700, 0.01068
81800, 0.011581
81900, 0.011629
82000, 0.011037
82100, 0.011848
82200, 0.012341
82300, 0.012294
82400, 0.012582
82500, 0.012939
82600, 0.013652
